Cluster,Mean_NDWI,Std_NDWI,Pixels,Area_km2,Area_%
0,0.07918585,0.012812553,116522,1677.9168,41.346396091108126
1,0.123341195,0.01316123,106920,1539.648,37.93924469251541
2,0.031183567,0.01622125,58377,840.6288,20.71435921637647
