Cluster,Mean_NDWI,Std_NDWI,Pixels,Area_km2,Area_%
0,0.062274605,0.04454515,36947,532.0368,13.110187744616224
1,0.06581768,0.031674538,102059,1469.6496,36.214378732448836
2,0.10655046,0.024329051,142813,2056.5072,50.67543352293493
